ID,Tipo,Localização,Quant. Quarto,Quant. Banheiro,Quant. Suite,Quant. Vagas Garagem,Area Total,Preço de Venda,Preço de aluguel
69897287,CASA,JARDIM DA PALMEIRAS - SANTA RITA DO SAPUCAÍ/MG,2,1,1,1,100,"R$ 230.000,00",
69948256,TERRENO,MONTE LIBANO - SANTA RITA DO SAPUCAÍ/MG,,,,,396,"R$ 230.000,00",
68539053,APARTAMENTO,Morada do Sol - SANTA RITA DO SAPUCAI/MG,2,1,1,1,7532,"R$ 236.000,00",
67607254,APARTAMENTO,Morada do Sol - Santa Rita do Sapucaí/MG,2,1,1,,70,"R$ 236.000,00",
68748263,APARTAMENTO,CENTRO - SANTA RITA DO SAPUCAI/MG,2,1,,,70,"R$ 240.000,00",
2316002,CASA,Maristela - Santa Rita do Sapucai/MG,12,1,,2,100,Valor sob consulta,
69681685,APARTAMENTO,MORADA DO SOL - SANTA RITA DO SAPUCAÍ/MG,2,,1,1,62,"R$ 245.000,00",
69819488,CASA,VIANNA - SANTA RITA DO SAPUCAÍ/MG,2,,,1,280,"R$ 250.000,00",
69839969,CASA,MONTE BELO - SANTA RITA DO SAPUCAÍ/MG,2,1,,6,220,"R$ 250.000,00",
33730182,TERRENO,parque dos passaros - santa rita do sapucaí/MG,,,,,10000,"R$ 260.000,00",
4585018,CASA,Por do sol - Santa Rita do sapucaí/MG,3,1,,,240,"R$ 270.000,00",
2353812,CASA,Jardim dos Estados - Santa Rita do Sapucai/MG,3,1,,,240,"R$ 270.000,00",
68145738,CASA,Ozório Machado - Santa Rita do Sapucaí/MG,2,1,,,100,"R$ 280.000,00",
68371696,APARTAMENTO,Por do Sol - Santa Rita do Sapucaí/MG,3,1,1,1,87,"R$ 280.000,00",
34800014,CASA,Jardim dos Estados - Santa Rita do Sapucaí/MG,3,1,1,1,240,"R$ 300.000,00",
68371605,CASA,Vista Alegre - Santa Rita do Sapucaí/MG,3,1,,2,200,"R$ 300.000,00",
69521396,CASA,VISTA ALEGRE - SANTA RITA DO SAPUCAI/MG,3,2,,2,200,"R$ 300.000,00",
3306517,CASA,Santana II - Santa Rita do Sapucai/MG,3,2,,2,373,"R$ 300.000,00",
2467493,GALPAO,Monte Belo - Santa Rita do Sapucai/MG,,,,,300,"R$ 310.000,00",
68106291,APARTAMENTO,centro - Santa Rita do Sapucaí/MG,2,1,,1,67,"R$ 310.000,00",
2509684,CASA,Morada do Sol - Santa Rita do Sapucai/MG,3,2,,,225,"R$ 320.000,00",
33577041,CASA,Monte Verde - Santa Rita do Sapucai/MG,3,1,1,1,190,"R$ 320.000,00",
3251616,APARTAMENTO,Monte Libano - Santa Rita do Sapucai/MG,2,1,,2,60,"R$ 320.000,00",
68989468,APARTAMENTO,CENTRO - SANTA RITA DO SAPUCAI/MG,2,,2,2,100,"R$ 320.000,00",
69893503,CASA,MARISTELA - SANTA RITA DO SAPUCAÍ/MG,3,1,,3,200,"R$ 325.000,00",
2768122,CASA,Jardim dos Estados - Santa Rita do Sapucai/MG,3,1,1,,200,"R$ 325.000,00",
69685629,CASA,MONTE BELO - SANTA RITA DO SAPUCAÍ/MG,3,1,1,1,1012,"R$ 330.000,00",
69930072,CASA,OZORIO MACHADO - SANTA RITA DO SAPUCAÍ/MG,3,1,,1,234,"R$ 330.000,00",
34174777,CHACARA,cachoeirinhaa - santa rita do sapucaí/MG,3,3,1,,1000,"R$ 330.000,00",
69502201,TERRENO,MONTE VERDE - SANTA RITA DO SAPUCAI/MG,,,,,927,"R$ 340.000,00",
33410629,APARTAMENTO,centro - Santa Rita do Sapucaí/MG,2,1,,1,113,"R$ 350.000,00",
2304861,CASA,Centro - Santa Rita do Sapucai/MG,3,2,,,100,"R$ 350.000,00",
33119686,CASA,Monte Verde - Santa Rita do Sapucaí/MG,3,1,1,,200,"R$ 350.000,00",
69567818,CASA,BEIRA RIO - SANTA RITA DO SAPUCAÍ/MG,3,1,1,2,200,"R$ 350.000,00",
33920318,CASA,centro - santa rita do sapucai/MG,3,2,1,,200,"R$ 370.000,00",
69795753,CASA,JARDIM DAS PALMEIRAS - SANTA RITA DO SAPUCAÍ/MG,4,,,3,200,"R$ 380.000,00",
2787825,CASA,Jardim dos Estados - Santa Rita do Sapucai/MG,3,2,,,200,"R$ 395.000,00",
69491032,CASA,VIANNA - SANTA RITA DO SAPUCAI/MG,3,1,,3,240,"R$ 400.000,00",
33263470,CASA,Centro - Santa Rita do Sapucaí/MG,2,1,,,354,"R$ 400.000,00",
2212653,APARTAMENTO,Família Andrade - Santa Rita do Sapucai/MG,2,1,1,2,175,"R$ 400.000,00",
2572217,CASA,Centro - Santa Rita do Sapucai/MG,3,1,,,229,"R$ 400.000,00",
69173338,CASA,CENTRO - SANTA RITA DO SAPUCAI/MG,3,,,1,260,"R$ 400.000,00",
69897186,CASA,POR DO SOL - SANTA RITA DO SAPUCAÍ/MG,3,1,2,2,262,"R$ 400.000,00",
33920207,CASA,vianna - santa rita do sapucai/MG,3,1,1,1,240,"R$ 410.000,00",
67607098,CASA,Santana ll - Santa Rita do Sapucaí/MG,3,,1,1,150,"R$ 410.000,00",
3519836,CHACARA,Sao Jose - Santa Rita do Sapucai/MG,,,,,1000,"R$ 420.000,00",
68578091,CHACARA,SAO JOSE - SANTA RITA DO SAPUCAI/MG,,,,,1200,"R$ 420.000,00",
4220806,CASA,Anchieta - Santa Rita do Sapucai/MG,20,2,1,5,16257,"R$ 420.000,00","R$ 6.000,00"
68145171,CHACARA,São José - Santa Rita do Sapucaí/MG,2,1,1,4,1500,"R$ 420.000,00","R$ 1.200,00"
2235663,CHACARA,São José - Santa Rita do Sapucaí/MG,3,2,,2,6000,"R$ 420.000,00",
69880654,CASA,BOA VISTA - SANTA RITA DO SAPUCAÍ/MG,3,1,1,2,200,"R$ 425.000,00",
3182882,CASA,Santo Antonio - Santa Rita do Sapucai/MG,3,2,1,2,300,"R$ 430.000,00",
2247970,CASA,Vianna - Santa Rita do Sapucai/MG,2,1,1,2,240,"R$ 430.000,00",
67625130,CASA,Santana ll - Santa Rita do Sapucai/MG,3,1,1,2,200,"R$ 430.000,00",
68900602,CASA,MARISTELA - SANTA RITA DO SAPUCAI/MG,3,,1,3,200,"R$ 430.000,00",
2343068,SITIO,Balaio - Santa Rita do Sapucai/MG,,,,,2,"R$ 440.000,00",
3300210,CASA,Vianna - Santa Rita do Sapucai/MG,3,2,1,2,240,"R$ 440.000,00",
2899406,SITIO,São jose - Santa Rita do Sapucai/MG,3,3,,,6000,Valor sob consulta,
69948831,CASA,MONTE VERDE - SANTA RITA DO SAPUCAÍ/MG,3,1,1,2,297,"R$ 445.000,00",
69430158,CASA,CENTRO - SANTA RITA DO SAPUCAI/MG,3,1,1,3,200,"R$ 450.000,00","R$ 2.000,00"
34101198,CASA,Jardim dos Estados - Santa Rita do Sapucaí/MG,3,1,1,4,240,"R$ 450.000,00",
69005000,CASA,INATEL - SANTA RITA DO SAPUCAI/MG,4,1,,,360,"R$ 450.000,00",
32876975,SITIO,Portal da Serra - Santa Rita do Sapucaí/MG,3,1,1,,1500,"R$ 450.000,00",
34224955,CASA,Santana II - Santa Rita do Sapucai/MG,3,,1,4,320,"R$ 450.000,00",
32944016,CASA,Morada do sol - Santa Rita do sapucai/MG,3,1,1,2,226,"R$ 460.000,00",
68420887,CASA,Centro - Santa Rita do Sapucaí/MG,4,2,1,4,263,"R$ 460.000,00",
4933164,APARTAMENTO,Familia Andrade - Santa Rita do sapucai/MG,3,1,1,2,100,"R$ 470.000,00","R$ 1.400,00"
68671329,APARTAMENTO,CENTRO - SANTA RITA DO SAPUCAI/MG,3,1,1,1,9817,"R$ 475.000,00",
2274346,CASA,Boa Vista - Santa Rita do Sapucai/MG,3,1,,1,240,"R$ 480.000,00",
69795190,CASA,MORADA DO SOL - SANTA RITA DO SAPUCAÍ/MG,3,1,1,2,219,"R$ 480.000,00",
69561335,APARTAMENTO,FAMILIA ANDRADE - SANTA RITA DO SAPUCAÍ/MG,3,1,1,1,144,"R$ 480.000,00",
68125860,CASA,Maristela - Santa Rita do Sapucaí/MG,3,,1,3,200,"R$ 480.000,00",
4420112,APARTAMENTO,Centro - Santa Rita do Sapucai/MG,4,1,1,2,170,"R$ 480.000,00",
4407452,CASA,Jardim dos Estados - Santa Rita do Sapucai/MG,3,2,1,2,240,"R$ 490.000,00",
2550048,APARTAMENTO,Familia Andrade - Santa Rita do Sapucai/MG,4,2,1,,16124,"R$ 500.000,00",
33289255,CHACARA,vargem do açude - Santa Rita do Sapucaí/MG,3,1,1,,13000,Valor sob consulta,
3144079,TERRENO,Recantos das Chacaras - Santa Rita do Sapucai/MG,,,,,5250,"R$ 500.000,00",
69675664,CASA,JARDIM DAS PALMEIRAS - SANTA RITA DO SAPUCAÍ/MG,3,1,1,,200,"R$ 500.000,00",
34977364,APARTAMENTO,centro - santa rita do sapucai/MG,3,1,1,2,144,"R$ 515.000,00",
69885100,CASA,SANTANA II - SANTA RITA DO SAPUCAÍ/MG,3,2,1,3,235,"R$ 520.000,00",
2226470,CASA,Loteamento do Vale - Santa Rita do Sapucai/MG,3,1,1,2,360,"R$ 520.000,00",
68671407,CASA,Santana II - SANTA RITA DO SAPUCAI/MG,3,2,1,2,300,"R$ 525.000,00",
4861470,CASA,VIANNA - Santa Rita do Sapucai/MG,20,2,1,2,240,"R$ 530.000,00",
69578821,CASA,FAMILIA ANDRADE - SANTA RITA DO SAPUCAÍ/MG,3,1,1,6,500,"R$ 550.000,00",
2372114,SITIO,Sao Jose - Santa Rita do Sapucai/MG,3,2,,,800,"R$ 550.000,00","R$ 6.500,00"
69105556,CASA,LOTEAMENTO DO VALE II - SANTA RITA DO SAPUCAI/MG,3,1,3,2,300,"R$ 560.000,00",
69266275,CASA,MORADA DO SOL - SANTA RITA DO SAPUCAI/MG,4,2,1,,217,"R$ 580.000,00",
69879857,CASA,BOA VISTA - SANTA RITA DO SAPUCAÍ/MG,3,1,1,1,210,"R$ 580.000,00","R$ 1.700,00"
69795647,CHACARA,VINTEM - SANTA RITA DO SAPUCAÍ/MG,1,2,,,8365,"R$ 590.000,00",
32876252,SITIO,São José - Santa Rita do Sapucaí/MG,25,1,1,5,1000,Valor sob consulta,
68134773,CASA,Santana II - Santa Rita do Sapucaí/MG,3,1,3,2,22165,"R$ 630.000,00",
68987094,CASA,SANTANA - SANTA RITA DO SAPUCAI/MG,3,,1,3,300,"R$ 650.000,00",
33975203,CASA,inatel - santa rita do sapucai/MG,6,2,2,,302,"R$ 650.000,00",
3002344,CASA,Fernandes - Santa Rita do Sapucai/MG,3,2,1,2,250,"R$ 650.000,00",
68134742,CASA,SANTANA I - Santa Rita do Sapucaí/MG,3,1,1,4,383,"R$ 650.000,00",
2681977,APARTAMENTO,Centro - Santa Rita do Sapucai/MG,3,1,1,2,12603,"R$ 690.000,00",
2889329,CASA,Centro - Santa Rita do Sapucai/MG,3,2,,,540,"R$ 700.000,00",
2563321,CASA,Santana I - Santa Rita do Sapucai/MG,4,2,1,,360,"R$ 700.000,00",
4944913,CASA,Centro - Santa Rita do Sapucai/MG,3,2,,2,550,"R$ 750.000,00",
3063603,CASA,Centro - Santa Rita do Sapucai/MG,4,3,1,4,300,"R$ 750.000,00",
3179664,TERRENO,Corrego Raso - Santa Rita do Sapucai/MG,,,,,2350,"R$ 750.000,00",
69557966,CASA,INATEL - SANTA RITA DO SAPUCAI/MG,3,2,1,2,360,"R$ 750.000,00",
69561763,CHACARA,PORTAL DO SOL - SANTA RITA DO SAPUCAÍ/MG,,,,,700,"R$ 750.000,00",
2690724,CASA,Centro - Santa Rita do Sapucai/MG,25,4,,5,500,"R$ 780.000,00","R$ 2.500,00"
69819360,CASA,CENTRO - SANTA RITA DO SAPUCAÍ/MG,3,1,2,1,360,"R$ 800.000,00","R$ 2.000,00"
68872939,CASA,CENTRO - Santa Rita do Sapucai/MG,4,2,,1,362,"R$ 800.000,00",
69659696,APARTAMENTO,CENTRO - SANTA RITA DO SAPUCAÍ/MG,3,,1,2,278,"R$ 830.000,00","R$ 2.000,00"
68860005,CASA,SANTANA II - SANTA RITA DO SAPUCAI/MG,3,2,1,2,354,"R$ 850.000,00",
69715006,CASA,CENTRO - SANTA RITA DO SAPUCAÍ/MG,3,2,1,,360,"R$ 900.000,00",
4220320,CASA,Santana - Santa Rita do Sapucai/MG,4,3,1,3,400,"R$ 900.000,00",
67607888,CASA,Jardim santo antonio - Santa Rita do Sapucai/MG,3,1,,2,600,"R$ 900.000,00",
32585359,CASA,Inatel - Santa Rita do Sapucai/MG,3,1,2,3,1000,"R$ 1.000.000,00",
33723794,CASA,SANTANA II - Santa Rita do Sapucaí/MG,3,3,1,,390,"R$ 1.000.000,00",
4853895,CASA,Centro - Santa Rita do Sapucaí/MG,8,2,,6,598,"R$ 1.000.000,00","R$ 2.500,00"
2263027,CASA,Centro - Santa Rita do Sapucai/MG,4,2,1,,561,"R$ 1.100.000,00",
68096413,CASA,Familia Andrade - Santa Rita do Sapucaí/MG,5,,3,,500,"R$ 1.200.000,00",
69447756,CASA,FAMILIA ANDRADE - SANTA RITA DO SAPUCAI/MG,4,3,1,9,402,"R$ 1.350.000,00",
34270525,CASA,santana ll - santa rita do sapucaí/MG,3,1,1,5,360,"R$ 1.400.000,00",
4352945,CASA,Centro - Santa Rita do Sapucai/MG,5,5,1,,613,"R$ 1.400.000,00",
34453889,TERRENO,RODOVIA 459 - SANTA RITA DO SAPUCAÍ/MG,,,,,13960,"R$ 1.500.000,00",
2910051,CASA,Centro - Santa Rita do Sapucai/MG,4,3,,,300,"R$ 1.500.000,00",
34231109,TERRENO,Rodovia BR - 459 - SANTA RITA DO SAPUCAI/MG,,,,,13960,"R$ 1.500.000,00",
33903978,TERRENO,morada do sol - santa rita do sapucai/MG,,,,,3000,"R$ 1.500.000,00",
3062183,GALPAO,Corrego Raso - Santa Rita do Sapucai/MG,,,,,68445,"R$ 1.750.000,00",
4459925,TERRENO,Familia Andrade - Santa Rita do Sapucai/MG,,,,,780,"R$ 2.000.000,00",
2891108,CASA,Centro - Santa Rita do Sapucai/MG,,,,,1000,"R$ 2.000.000,00",
69514516,SITIO,RURAL - SANTA RITA DO SAPUCAI/MG,6,6,2,10,26000,"R$ 2.200.000,00",
4901318,CASA,Centro - Santa Rita do Sapucaí/MG,5,3,1,5,840,"R$ 2.300.000,00","R$ 3.500,00"
69561997,SITIO,MONTE LIBANO - SANTA RITA DO SAPUCAÍ/MG,6,5,2,10,26000,"R$ 2.300.000,00",
4320150,CASA,Centro - Santa Rita do Sapucai/MG,3,1,,,12785,"R$ 2.400.000,00",
3230021,CASA,Centro - Santa Rita do sapucaí/MG,12,7,,4,8126,"R$ 2.900.000,00",
33516959,FAZENDA,São Jose - Santa Rita do Sapucai/MG,4,3,2,10,250,"R$ 3.000.000,00",
33903905,CASA,centro - santa rita do sapucai/MG,4,,,,3950,"R$ 3.000.000,00",
67731070,FAZENDA,Sertaozinho/Balaio - Santa Rita do Sapucai/MG,,,,,500,"R$ 3.800.000,00",
3494883,SITIO,Sao Jose - Santa Rita do Sapucai/MG,15,3,2,,200,Valor sob consulta,
67731262,SALA,centro - Santa Rita do Sapucai/MG,,,,,20,"R$ 700,00",
67724120,APARTAMENTO,fernandes - santa rita do sapucai/MG,2,1,,1,46,"R$ 180.000,00","R$ 750,00"
69783147,APARTAMENTO,JARDIM BEIRA RIO - SANTA RITA DO SAPUCAÍ/MG,2,1,,1,50,"R$ 760,00","R$ 760,00"
32673389,SALA,Centro - Santa Rita do Sapucai/MG,,1,,,18,"R$ 800,00","R$ 800,00"
69802564,APARTAMENTO,MONTE VERDE II - SANTA RITA DO SAPUCAÍ/MG,2,1,1,1,60,"R$ 800,00","R$ 800,00"
69548130,CASA,MONTE BELO - SANTA RITA DO SAPUCAI/MG,2,1,,1,100,"R$ 850,00","R$ 850,00"
69684802,PONTO,CENTRO - SANTA RITA DO SAPUCAÍ/MG,,1,,,30,"R$ 900,00","R$ 900,00"
68679292,APARTAMENTO,MORADA DO SOL - SANTA RITA DO SAPUCAI/MG,2,1,,1,70,"R$ 215.000,00","R$ 900,00"
69802532,APARTAMENTO,MONTE VERDE II - SANTA RITA DO SAPUCAÍ/MG,2,1,1,1,60,"R$ 900,00","R$ 900,00"
68556870,CASA,Centro - SANTA RITA DO SAPUCAI/MG,3,2,,,150,"R$ 1.000,00","R$ 1.000,00"
68592197,GALPAO,PEDREIRA - SANTA RITA DO SAPUCAI/MG,,1,,,200,"R$ 1.000,00","R$ 1.000,00"
69675156,CASA,SANTANA - SANTA RITA DO SAPUCAÍ/MG,3,1,,1,150,"R$ 1.000,00","R$ 1.000,00"
68531566,APARTAMENTO,Familia Andrade - SANTA RITA DO SAPUCAI/MG,3,2,1,1,108,"R$ 1.000,00","R$ 1.000,00"
68531547,APARTAMENTO,Morada do SOl - SANTA RITA DO SAPUCAI/MG,2,1,1,1,70,"R$ 1.050,00","R$ 1.050,00"
68145171,CHACARA,São José - Santa Rita do Sapucaí/MG,2,1,1,4,1500,"R$ 420.000,00","R$ 1.200,00"
68870045,PONTO,CENTRO - SANTA RITA DO SAPUCAI/MG,,1,,,45,"R$ 1.400,00","R$ 1.400,00"
4933164,APARTAMENTO,Familia Andrade - Santa Rita do sapucai/MG,3,1,1,2,100,"R$ 470.000,00","R$ 1.400,00"
68828370,SALA,Centro - Santa Rita do Sapucaí/MG,,1,,,40,"R$ 1.400,00","R$ 1.400,00"
2899406,SITIO,São jose - Santa Rita do Sapucai/MG,3,3,,,6000,Valor sob consulta,
69879857,CASA,BOA VISTA - SANTA RITA DO SAPUCAÍ/MG,3,1,1,1,210,"R$ 580.000,00","R$ 1.700,00"
69430158,CASA,CENTRO - SANTA RITA DO SAPUCAI/MG,3,1,1,3,200,"R$ 450.000,00","R$ 2.000,00"
69819360,CASA,CENTRO - SANTA RITA DO SAPUCAÍ/MG,3,1,2,1,360,"R$ 800.000,00","R$ 2.000,00"
69659696,APARTAMENTO,CENTRO - SANTA RITA DO SAPUCAÍ/MG,3,,1,2,278,"R$ 830.000,00","R$ 2.000,00"
68591972,GALPAO,Maristela - SANTA RITA DO SAPUCAI/MG,,,,,292,"R$ 2.200,00","R$ 2.200,00"
4844444,GALPAO,Loteamento do Vale - Santa Rita do sapucaí/MG,,,,,250,"R$ 2.500,00","R$ 2.500,00"
2690724,CASA,Centro - Santa Rita do Sapucai/MG,25,4,,5,500,"R$ 780.000,00","R$ 2.500,00"
4853895,CASA,Centro - Santa Rita do Sapucaí/MG,8,2,,6,598,"R$ 1.000.000,00","R$ 2.500,00"
69413247,GALPAO,CENTRO - SANTA RITA DO SAPUCAI/MG,,2,,5,150,"R$ 3.000,00","R$ 3.000,00"
69413267,CASA,CENTRO - SANTA RITA DO SAPUCAI/MG,4,2,1,2,600,"R$ 3.200,00","R$ 3.200,00"
4901318,CASA,Centro - Santa Rita do Sapucaí/MG,5,3,1,5,840,"R$ 2.300.000,00","R$ 3.500,00"
68168324,GALPAO,Fernandes - Santa Rita do Sapucaí/MG,,,,,400,"R$ 4.000,00","R$ 4.000,00"
68658073,GALPAO,FERNANDES - SANTA RITA DO SAPUCAI/MG,,2,,2,400,"R$ 4.000,00","R$ 4.000,00"
2892142,GALPAO,Familia Andrade - Santa Rita do Sapucai/MG,,,,,500,Valor sob consulta,
